what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702125302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702138224
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1336702141386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336702141387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702141423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702145777
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1336702148457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336702148457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702148495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702150601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702156906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702173230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702316135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702319225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702429539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702469257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702528452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702542494
error,log,,,"Could not write metadata for '/'.",1336702605813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702606076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702606506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702622562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702634747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1336702662898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1336702662898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702662937
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1336702732976
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1336702733004
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1336702733205
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1336702733379
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1336702733646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.helpContents",1336702735407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336702735516
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1336702735626
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1336702735642
started,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1336702736795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703019339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703026205
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1336703028369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336703028370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703028415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703031715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703080250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703097913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703263845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703276001
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703284556
error,log,,,"Problems saving workspace",1336703288151
error,log,,,"Problems occurred while trying to save the state of the workbench.",1336703288157
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.massif",1336703288757
