what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1336859048159
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1336859048160
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1336859048161
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1336859048162
started,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1336859048163
started,bundle,org.eclipse.linuxtools.systemtap.ui.editor,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.editor",1336859048164
started,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1336859048164
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1336859048165
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1336859048167
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1336859048168
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1336859048169
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1336859048170
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1336859048170
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1336859048171
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1336859048172
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1336859048174
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1336859048175
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1336859048177
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1336859048178
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1336859048179
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1336859048180
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1336859048181
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1336859048183
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1336859048184
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1336859048187
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1336859048188
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1336859048190
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1336859048191
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1336859048193
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1336859048194
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1336859048195
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1336859048197
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1336859048198
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1336859048199
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1336859048202
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1336859048203
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1336859048205
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1336859048206
os,sysinfo,,,"linux",1336859048214
arch,sysinfo,,,"x86_64",1336859048214
ws,sysinfo,,,"gtk",1336859048214
locale,sysinfo,,,"en_US",1336859048214
processors,sysinfo,,,"2",1336859048214
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1336859048214
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1336859048214
java.specification.name,sysinfo,,,"Java Platform API Specification",1336859048214
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336859048214
java.specification.version,sysinfo,,,"1.6",1336859048214
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1336859048214
java.version,sysinfo,,,"1.6.0_24",1336859048214
java.vm.info,sysinfo,,,"mixed mode",1336859048214
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1336859048214
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336859048214
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336859048214
java.vm.specification.version,sysinfo,,,"1.0",1336859048214
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1336859048214
java.vm.version,sysinfo,,,"20.0-b12",1336859048214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336859057770
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336859299272
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1336859299868
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336859299881
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.massif",1336859300429
stopped,bundle,org.eclipse.birt.chart.device.svg,3.7.2.v20120213,"org.eclipse.birt.chart.device.svg",1336859300431
stopped,bundle,org.eclipse.birt.chart.device.extension,3.7.2.v20120213,"org.eclipse.birt.chart.device.extension",1336859300432
stopped,bundle,org.eclipse.birt.chart.device.swt,3.7.2.v20120213,"org.eclipse.birt.chart.device.swt",1336859300434
